# IMCCOD MMDA register transcription
# Source: https://imccod.gov.gh/mmdas/
# Columns: serial|region_code|official_name|capital
1|AHA|ASUNAFO SOUTH|Kukuom
2|AHA|ASUNAFO NORTH MUNICIPAL|Goaso
3|AHA|ASUTIFI SOUTH|Hwidiem
4|AHA|ASUTIFI NORTH|Kenyasi
5|AHA|TANO SOUTH MUNICIPAL|Bechem
6|AHA|TANO NORTH MUNICIPAL|Duayaw Nkwanta
7|ASH|ADANSI SOUTH|New Edubiase
8|ASH|ADANSI NORTH|Fomena
9|ASH|ADANSI ASOKWA|Adansi Asokwa
10|ASH|BEKWAI MUNICIPAL|Bekwai
11|ASH|AKROFUOM|Akrofuom
12|ASH|OBUASI MUNICIPAL|Obuasi
13|ASH|OBUASI EAST|Tutuka
14|ASH|AMANSIE CENTRAL|Jacobu
15|ASH|AMANSIE WEST|Manso
16|ASH|AMANSIE SOUTH|Edubia
17|ASH|AHAFO ANO SOUTHWEST|Mankraso
18|ASH|AHAFO ANO SOUTHEAST|Adugyma
19|ASH|AHAFO ANO NORTH MUNICIPAL|Tepa
20|ASH|ATWIMA MPONUA|Nyinahin
21|ASH|ATWIMA NWABIAGYA SOUTH MUNICIPAL|Nkwie
22|ASH|ATWIMA KWANWOMA|Twedie
23|ASH|ATWIMA NWABIAGYA NORTH|Barekese
24|ASH|KUMASI METROPOLITAN|Kumasi
25|ASH|KWADASO MUNICIPAL|Kwadaso
26|ASH|TAFO MUNICIPAL|Old Tafo
27|ASH|SUAME MUNICIPAL|Suame
28|ASH|BOSOMTWE|Kuntenase
29|ASH|ASOKWA MUNICIPAL|Asokwa
30|ASH|OFORIKROM MUNICIPAL|Oforikrom
31|ASH|ASOKORE MAMPONG MUNICIPAL|Asokore
32|ASH|KWABRE EAST MUNICIPAL|Mamponteng
33|ASH|JUABEN MUNICIPAL|Juaben
34|ASH|EJISU MUNICIPAL|Ejisu
35|ASH|SEKYERE-EAST|Efiduase
36|ASH|SEKYERE KUMAWU|Kumawu
37|ASH|SEKYERE AFRAM PLAINS|Drobonso
38|ASH|SEKYERE CENTRAL|Nsuta
39|ASH|SEKYERE SOUTH|Agona
40|ASH|ASANTE AKIM SOUTH MUNICIPAL|Juaso
41|ASH|ASANTE AKIM CENTRAL MUNICIPAL|Konongo
42|ASH|ASANTE AKIM NORTH MUNICIPAL|Agogo
43|ASH|BOSOME FREHO|Asiwa
44|ASH|MAMPONG MUNICPAL|Mampong
45|ASH|EJURA SEKYEDUMASE MUNICIPAL|Ejura
46|ASH|AFIGYA KWABRE SOUTH|Kodie
47|ASH|AFIGYA KWABRE NORTH|Boamang
48|ASH|OFFINSO MUNICIPAL|Offinso
49|ASH|OFFINSO NORTH|Akomadan
50|BON|SUNYANI EAST MUNICIPAL|Sunyani
51|BON|SUNYANI WEST MUNICIPAL|Odumasi
52|BON|BEREKUM EAST MUNICIPAL|Berekum
53|BON|BEREKUM WEST|Jinijini
54|BON|DORMAA WEST|Nkran Nkwanta
55|BON|DORMAA CENTRAL MUNICIPAL|Dormaa Ahenkro
56|BON|DORMAA EAST|Wamfie
57|BON|JAMAN SOUTH MUNICIPAL|Drobo
58|BON|JAMAN NORTH|Sampa
59|BON|BANDA|Banda Ahenkro
60|BON|TAIN|Nsawkaw
61|BON|WENCHI MUNICIPAL|Wenchi
62|BEA|TECHIMAN MUNICIPAL|Techiman
63|BEA|TECHIMAN NORTH|Tuobodom
64|BEA|KINTAMPO NORTH MUNICIPAL|Kintampo
65|BEA|KINTAMPO SOUTH|Jema
66|BEA|NKORANZA NORTH|Busunya
67|BEA|NKORANZA SOUTH MUNICIPAL|Nkoranza
68|BEA|ATEBUBU-AMANTIN MUNICIPAL|Atebubu
69|BEA|PRU WEST|Prang
70|BEA|PRU EAST|Yeji
71|BEA|SENE WEST|Kwame Dansu
72|BEA|SENE EAST|Kajaji
73|CEN|KOMENDA EDINA EGUAFO ABREM MUNICIPAL|Elmina
74|CEN|CAPE COAST METROPOLITAN|Cape Coast
75|CEN|MFANTSIMAN MUNICIPAL|Saltpong
76|CEN|EKUMFI|Essarkyir
77|CEN|AJUMAKO-ENYAN-ESIAM|Ajumako
78|CEN|GOMOA WEST|Apam
79|CEN|GOMOA CENTRAL|Afransi
80|CEN|GOMOA EAST|Potsin
81|CEN|EFFUTU MUNICIPAL|Winneba
82|CEN|AWUTU SENYA WEST|Awutu-Breku
83|CEN|AWUTU SENYA EAST MUNICIPAL|Kasoa
84|CEN|AGONA WEST MUNICIPAL|Swedru
85|CEN|AGONA EAST|Nsaba
86|CEN|ASIKUMA ODOBEN BRAKWA|Breman Asikuma
87|CEN|ABURA-ASEBU-KWAMANKESE|Abura Dunkwa
88|CEN|ASSIN CENTRAL MUNICIPAL|Assin Fosu
89|CEN|ASSIN NORTH|Assin Bereku
90|CEN|ASSIN SOUTH|Kyekyewere
91|CEN|TWIFO ATI MORKWA|Twifo Praso
92|CEN|TWIFO HEMANG LOWER DENKYIRA|Hemang
93|CEN|UPPER DENKYIRA EAST MUNICIPAL|Dunkwa-on-Offin
94|CEN|UPPER DENKYIRA WEST|Diaso
95|EAS|ASUOGYAMAN|Atimpoku
96|EAS|LOWER MANYA KROBO MUNICIPAL|Odumase
97|EAS|UPPER MANYA KROBO|Asesewa
98|EAS|YILO KROBO MUNICIPAL|Somanya
99|EAS|NEW JUABEN SOUTH MUNICIPAL|Koforidua
100|EAS|NEW JUABEN NORTH MUNICIPAL|Efiduase
101|EAS|AKWAPIM NORTH MUNICIPAL|Akropong
102|EAS|OKERE|Adukrom
103|EAS|AKUAPEM SOUTH|Aburi
104|EAS|NSAWAM/ADOAGYIRI MUNICIPAL|Nsawam
105|EAS|SUHUM MUNICIPAL|Suhum
106|EAS|AYENSUANO|Coaltar
107|EAS|WEST AKIM MUNICIPAL|Asamankese
108|EAS|UPPER WEST AKIM|Adeiso
109|EAS|BIRIM CENTRAL MUNICIPAL|Akim Oda
110|EAS|ASENE MANSO AKROSO|Manso
111|EAS|BIRIM SOUTH|Akim Swedru
112|EAS|ACHIASE|Achiase
113|EAS|AKYEMANSA|Ofoase
114|EAS|KWAEBIBIREM MUNICIPAL|Kade
115|EAS|DENKYEMBUO|Akwatia
116|EAS|BIRIM NORTH|New Abirim
117|EAS|ABUAKWA SOUTH MUNICIPAL|Kibi
118|EAS|ABUAKWA NORTH MUNICIPAL|Kukurantumi
